# QuicklIME ローマ字テーブル: AZIK 風拡張プリセット
#
# 適用方法: このファイルを %APPDATA%\QuicklIME\romaji.tsv にコピーする。
# 反映は各アプリの再起動後 (IME の DLL はアプリのプロセスごとにロードされ、
# テーブルは初回参照時に一度だけ読み込まれるため)。
#
# 書式: 1行1エントリ「ローマ字<TAB>かな」(UTF-8)。# 始まりの行と空行は無視。
# かな欄が空の行は既定テーブルのエントリの削除。
# 内容は既定のローマ字テーブルへ追加・上書きされるので、拡張の差分だけを書く。
#
# 注意: AZIK 適用に伴い使えなくなる既定の打ち方
# - sh/ch/th/dh は二重母音拡張 (すう/ちゅう/つう/づう) に割り当てるため、
#   sha/cha/tha/dha 系は使えない。しゃ=sya、ちゃ=tya か ca、てぃ=tgi、でぃ=dci を使う
# - kk/dd/zz/jj/hh/pp/ww は拡張に割り当てるため、これらの子音の連打での促音
#   (っか=kka 等) は使えない。xtu/ltu か、tt など未割り当ての連打を使う
# - n の直後の z/k/j/d/l/q/h/w/p は撥音・二重母音拡張 (なん/にん/ない 等) になるため、
#   ん の省略打ち (n+子音) はこれらの子音の前では使えない。ん は nn か撥音拡張で打つ
#   (例: かんじ=kzji。かんしゃ=kansya のように n+s などは従来どおり)
# - 本家 AZIK の「x=しゃ行」「q=ん」は既定の小書き文字 (xa=ぁ) や くぁ行 (qa) と
#   衝突するため、このプリセットには含めない (使いたい場合は末尾のコメント参照)

# ---- 撥音拡張 (子音 + z/n=あん k=いん j=うん d=えん l=おん) ----
byh	びゅう
byw	びぇい
byp	びょう
pyq	ぴゃい
pyh	ぴゅう
pyw	ぴぇい
pyp	ぴょう
fq	ふぁい
fh	ふう
fw	ふぇい
fp	ふぉー
vq	ゔぁい
vh	ゔー
vw	ゔぇい
vp	ゔぉー
tgh	とぅー
dch	どぅー

# ---- ちゃ行の c (ch が二重母音拡張になる代替) ----
ca	ちゃ
ci	ち
cu	ちゅ
ce	ちぇ
co	ちょ

# ---- てゃ行の tg (th が二重母音拡張になる代替) ----
tga	てゃ
tgi	てぃ
tgu	てゅ
tge	てぇ
tgo	てょ

# ---- でゃ行の dc (dh が二重母音拡張になる代替) ----
dca	でゃ
dci	でぃ
dcu	でゅ
dce	でぇ
dco	でょ

# ---- オプション (使う場合は # を外す) ----
# 本家 AZIK の q=ん。有効にすると qa 行 (くぁ/くぃ/くぇ/くぉ) は打てなくなる
#q	ん
